Date,Time,Ticker,Price,Chg_Dollar,Chg_Pct
2026-05-10,07:52:30,AAPL,293.32,5.9,2.05
2026-05-10,07:52:30,MSFT,415.12,-5.8,-1.38
2026-05-10,07:52:30,GOOGL,400.8,2.81,0.71
2026-05-10,07:52:30,JPM,302.1,-4.17,-1.36
